what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1551230091377
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.201.v201301072322,"org.eclipse.jst.ws.cxf.creation.ui",1551230091378
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.800.v201304171447,"org.eclipse.jst.ws.creation.ui",1551230091378
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.200.v201201312103,"org.eclipse.jst.ws.cxf.consumption.ui",1551230091378
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.702.v201312022107,"org.eclipse.jst.ws.consumption.ui",1551230091378
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.701.v201212112014,"org.eclipse.jst.ws.consumption",1551230091378
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.201.v201301072322,"org.eclipse.jst.ws.cxf.consumption.core",1551230091378
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.300.v201303132105,"org.eclipse.jst.ws.cxf.creation.core",1551230091378
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.200.v201203062228,"org.eclipse.jst.ws.cxf.ui",1551230091378
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.1.100.v201303142315,"org.eclipse.jst.ws.cxf.core",1551230091378
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1551230091378
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1551230091378
stopped,bundle,org.eclipse.jst.ws,1.0.600.v201108242234,"org.eclipse.jst.ws",1551230091378
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.701.v201303130503,"org.eclipse.wst.ws.explorer",1551230091378
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.501.v201303130455,"org.eclipse.wst.wsdl.ui",1551230091378
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1551230091379
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1551230091379
stopped,bundle,org.eclipse.wst.wsi,1.0.500.v201203081939,"org.eclipse.wst.wsi",1551230091379
stopped,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1551230091379
stopped,bundle,org.eclipse.wst.ws,1.1.300.v201204181727,"org.eclipse.wst.ws",1551230091380
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1551230091380
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1551230091380
stopped,bundle,org.eclipse.wst.ws.parser,1.0.500.v201210042315,"org.eclipse.wst.ws.parser",1551230091380
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1551230091381
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.6.v201308091040,"org.eclipse.datatools.enablement.oda.ws.ui",1551230091381
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.6.v201307051812,"org.eclipse.datatools.enablement.oda.ws",1551230091381
stopped,bundle,org.eclipse.wst.wsdl,1.2.300.v201109010430,"org.eclipse.wst.wsdl",1551230091381
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.600.v201203081939,"org.eclipse.wst.wsdl.validation",1551230091381
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1551230091381
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1551230091381
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.301.v20130423-0632,"org.eclipse.wst.xsl.ui",1551230091381
