what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1552362389502
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1552362389502
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1552362389502
java.vm.specification.version,sysinfo,,,"1.7",1552362389502
java.vm.vendor,sysinfo,,,"Oracle Corporation",1552362389502
java.vm.version,sysinfo,,,"24.80-b11",1552362389502
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552362390300
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552362390403
started,bundle,org.eclipse.jdt.junit,3.7.200.v20130514-0733,"org.eclipse.jdt.junit",1552362390512
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552362583928
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552373551893
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552373555064
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552375718924
started,bundle,org.eclipse.pde.api.tools,1.0.501.v20130807-1634,"org.eclipse.pde.api.tools",1552375837505
started,bundle,org.eclipse.pde.api.tools.ui,1.0.401.v20130730-1957,"org.eclipse.pde.api.tools.ui",1552375837507
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.300.v201302270042,"org.eclipse.jst.ws.jaxws.ui",1552375837511
started,bundle,org.eclipse.mylyn.java.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.java.ui",1552375837546
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552375916642
started,bundle,org.eclipse.wst.jsdt.core,1.3.1.v201401291437,"org.eclipse.wst.jsdt.core",1552375916995
error,log,,,"Internal Error",1552375957805
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552376061074
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552376110251
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552376110361
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552376153828
started,bundle,org.eclipse.mylyn.java.tasks,3.9.2.v20140211-0100,"org.eclipse.mylyn.java.tasks",1552376242345
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376242735
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376242857
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376243804
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376245295
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376245858
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376246427
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376247193
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.undo",1552376247744
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552376342941
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552376459576
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552389536558
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552389536568
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552394331375
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552394463021
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552394504644
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1552394760271
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1552394771618
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552394821258
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552394893329
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552394982390
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552394989998
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1552394999104
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552395019852
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552395163500
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552395184512
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552395194217
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552395194272
executed,command,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1552395232880
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552395235765
