what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1551230148016
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1551230148016
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1551230148017
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1551230148018
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1551230148018
os,sysinfo,,,"linux",1551230148022
arch,sysinfo,,,"x86_64",1551230148022
ws,sysinfo,,,"gtk",1551230148022
locale,sysinfo,,,"en_US",1551230148022
processors,sysinfo,,,"32",1551230148022
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1551230148022
java.runtime.version,sysinfo,,,"1.8.0_201-b09",1551230148022
java.specification.name,sysinfo,,,"Java Platform API Specification",1551230148022
java.specification.vendor,sysinfo,,,"Oracle Corporation",1551230148022
java.specification.version,sysinfo,,,"1.8",1551230148022
java.vendor,sysinfo,,,"Oracle Corporation",1551230148022
java.version,sysinfo,,,"1.8.0_201",1551230148022
java.vm.info,sysinfo,,,"mixed mode",1551230148022
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1551230148022
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1551230148022
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1551230148023
java.vm.specification.version,sysinfo,,,"1.8",1551230148023
java.vm.vendor,sysinfo,,,"Oracle Corporation",1551230148023
java.vm.version,sysinfo,,,"25.201-b09",1551230148023
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551230156343
executed,command,org.eclipse.ui.ide,3.9.2.v20131004-0923,"org.eclipse.ui.edit.text.openLocalFile",1551230159035
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551230159040
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.ui",1551230163789
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1551230163828
started,bundle,org.eclipse.wst.common.modulecore,1.2.302.v201311131500,"org.eclipse.wst.common.modulecore",1551230163834
started,bundle,org.eclipse.wst.web.ui,1.1.600.v201109220400,"org.eclipse.wst.web.ui",1551230163837
started,bundle,org.eclipse.jst.servlet.ui,1.1.700.v201303151600,"org.eclipse.jst.servlet.ui",1551230163839
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1551230163918
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.502.v201310152235,"org.eclipse.jst.ws.jaxrs.core",1551230163922
started,bundle,org.eclipse.jpt.common.utility,2.2.0.v201305171828,"org.eclipse.jpt.common.utility",1551230163957
started,bundle,org.eclipse.jpt.common.core,1.3.0.v201304300138,"org.eclipse.jpt.common.core",1551230163958
started,bundle,org.eclipse.jpt.jpa.core,3.3.2.v201401172016,"org.eclipse.jpt.jpa.core",1551230163960
started,bundle,org.eclipse.wst.server.core,1.5.100.v20140109_1422,"org.eclipse.wst.server.core",1551230164019
started,bundle,org.eclipse.jst.j2ee.core,1.3.10.v201310231400,"org.eclipse.jst.j2ee.core",1551230164036
started,bundle,org.eclipse.jem,2.0.600.v201201051400,"org.eclipse.jem",1551230164049
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.201.v201208292200,"org.eclipse.wst.common.frameworks.ui",1551230164068
started,bundle,org.eclipse.wst.xml.core,1.1.801.v201308100603,"org.eclipse.wst.xml.core",1551230164069
started,bundle,org.eclipse.wst.validation,1.2.501.v201311151800,"org.eclipse.wst.validation",1551230164078
started,bundle,org.eclipse.jst.j2ee,1.1.710.v201401281800,"org.eclipse.jst.j2ee",1551230164096
started,bundle,org.eclipse.jdt.launching,3.7.1.v20131218-1102,"org.eclipse.jdt.launching",1551230164125
started,bundle,org.eclipse.wst.server.ui,1.4.200.v20140106_1456,"org.eclipse.wst.server.ui",1551230164166
started,bundle,org.eclipse.jst.j2ee.web,1.1.701.v201401101700,"org.eclipse.jst.j2ee.web",1551230164185
started,bundle,org.eclipse.jst.common.frameworks,1.1.601.v201208160700,"org.eclipse.jst.common.frameworks",1551230164203
started,bundle,org.eclipse.jst.j2ee.ui,1.1.710.v201312231800,"org.eclipse.jst.j2ee.ui",1551230164266
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551230164470
started,bundle,org.eclipse.jst.server.core,1.2.302.v20120503_1042,"org.eclipse.jst.server.core",1551230176040
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.405.v20131208_1453,"org.eclipse.jst.server.tomcat.core",1551230176050
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.300.v20120420_1012,"org.eclipse.jst.server.tomcat.ui",1551230176062
