what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20130327-2119,"org.eclipse.equinox.p2.garbagecollector",1552287219102
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287220658
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287220813
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287223123
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287223192
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287228269
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287230588
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.refresh",1552287236718
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287244966
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287250087
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287250134
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287252547
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287256301
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.properties",1552287281096
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287281168
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.refresh",1552287285316
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287294506
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287311074
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287317728
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287330841
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287331823
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287331921
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287350723
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287350856
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287353222
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287353327
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287454731
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287458746
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287463029
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287463117
closed,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287463125
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287466740
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287484556
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287487096
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287487390
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287487450
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287487650
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287495588
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287495653
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287495800
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287497911
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552287505480
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287507708
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287508483
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287508549
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287508699
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287510236
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552287532136
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287533467
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287533756
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287533835
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287533998
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287536528
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552287557800
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287559968
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287560215
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287560265
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287560454
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287562153
started,bundle,org.eclipse.mylyn.java.tasks,3.9.2.v20140211-0100,"org.eclipse.mylyn.java.tasks",1552287570257
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552287570374
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287576721
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287622081
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552287625839
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287633557
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287648815
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552287657181
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287880044
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287889572
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287913672
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287922048
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287926704
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1552287933566
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.properties",1552287934770
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287934809
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552287935812
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552288036386
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552288036450
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552288099615
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552288101944
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.properties",1552288140848
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552288140878
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.refresh",1552288146691
