what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1552013465109
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552013466639
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552013471687
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552013474155
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552013922187
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014068594
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014088840
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014090813
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014308349
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552014318122
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014320749
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552014327831
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014329318
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014499993
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552014544683
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014805461
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014864449
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014867583
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552014877982
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014895136
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014901915
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014909455
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014915291
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014925288
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014926258
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014933641
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014960253
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552014965882
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552014966963
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552015021251
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552015051106
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552015313928
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552015323947
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552017146597
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552017289463
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552052542449
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552052546199
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552052552977
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552053416485
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552053437604
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552053463322
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552053514912
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1552053588744
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552053600222
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552053731296
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552054288405
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552054290309
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552054295629
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552054451665
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1552054456815
started,bundle,org.eclipse.mylyn.context.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.ui",1552054457092
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.copy",1552054459435
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054472833
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.properties",1552054490252
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054490300
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054518477
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.properties",1552054539943
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054539967
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552054586304
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054599204
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054774595
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552054786166
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552054792765
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552054937984
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055023837
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055031853
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055048418
error,log,,,"Internal Error",1552055139066
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552055229499
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055240149
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055711735
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1552055742153
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055757614
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.properties",1552055971702
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552055971737
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.refresh",1552055989843
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552055997117
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1552055997196
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056008372
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552056067476
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552056113291
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1552056113325
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056117403
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1552056123311
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.edit.paste",1552056149102
executed,command,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1552056179528
executed,command,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1552056195284
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552056197150
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1552056226753
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1552056227160
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1552056276404
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056277866
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.save",1552056279258
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1552056281020
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.refresh",1552056286112
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056295372
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056298689
closed,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056298696
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1552056301501
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552056301761
