what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1551343836275
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1551345007284
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1551346076819
activated,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1551347656283
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551347663928
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551347679237
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551347682140
closed,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1551347683569
closed,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1551347683693
closed,view,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.ProjectExplorer",1551347683716
closed,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551347683864
closed,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1551347684061
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.750.v201204120428,"org.eclipse.jst.ws.axis.creation.ui",1551347684236
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.701.v201311011642,"org.eclipse.jst.ws.axis.consumption.ui",1551347684236
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.408.v201401152057,"org.eclipse.jst.ws.axis.consumption.core",1551347684236
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1551347684237
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1551347684237
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1551347684237
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1551347684237
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1551347684238
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1551347684238
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.201.v201301072322,"org.eclipse.jst.ws.cxf.creation.ui",1551347684238
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.800.v201304171447,"org.eclipse.jst.ws.creation.ui",1551347684239
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.200.v201201312103,"org.eclipse.jst.ws.cxf.consumption.ui",1551347684239
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.702.v201312022107,"org.eclipse.jst.ws.consumption.ui",1551347684241
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.701.v201212112014,"org.eclipse.jst.ws.consumption",1551347684244
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.201.v201301072322,"org.eclipse.jst.ws.cxf.consumption.core",1551347684245
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.300.v201303132105,"org.eclipse.jst.ws.cxf.creation.core",1551347684247
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.200.v201203062228,"org.eclipse.jst.ws.cxf.ui",1551347684250
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.1.100.v201303142315,"org.eclipse.jst.ws.cxf.core",1551347684252
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1551347684254
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1551347684257
stopped,bundle,org.eclipse.jst.ws,1.0.600.v201108242234,"org.eclipse.jst.ws",1551347684258
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.701.v201303130503,"org.eclipse.wst.ws.explorer",1551347684262
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.501.v201303130455,"org.eclipse.wst.wsdl.ui",1551347684264
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1551347684266
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1551347684268
stopped,bundle,org.eclipse.wst.wsi,1.0.500.v201203081939,"org.eclipse.wst.wsi",1551347684270
stopped,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1551347684279
stopped,bundle,org.eclipse.wst.ws,1.1.300.v201204181727,"org.eclipse.wst.ws",1551347684279
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1551347684279
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1551347684280
stopped,bundle,org.eclipse.wst.ws.parser,1.0.500.v201210042315,"org.eclipse.wst.ws.parser",1551347684280
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1551347684281
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.6.v201308091040,"org.eclipse.datatools.enablement.oda.ws.ui",1551347684281
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.6.v201307051812,"org.eclipse.datatools.enablement.oda.ws",1551347684282
stopped,bundle,org.eclipse.wst.wsdl,1.2.300.v201109010430,"org.eclipse.wst.wsdl",1551347684282
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.600.v201203081939,"org.eclipse.wst.wsdl.validation",1551347684282
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1551347684283
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1551347684284
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.301.v20130423-0632,"org.eclipse.wst.xsl.ui",1551347684284
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.101.v201204260040,"org.eclipse.wst.xml.xpath.ui",1551347684285
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.302.v201304241031,"org.eclipse.wst.xsl.debug.ui",1551347684285
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.300.v201304102231,"org.eclipse.wst.xsl.jaxp.launching",1551347684286
stopped,bundle,org.eclipse.wst.xsl.launching,1.1.0.v201304241031,"org.eclipse.wst.xsl.launching",1551347684286
stopped,bundle,org.eclipse.wst.xsl.core,1.1.301.v20130423-0632,"org.eclipse.wst.xsl.core",1551347684286
stopped,bundle,org.eclipse.wst.xml.xpath.core,1.3.0.v201108312136,"org.eclipse.wst.xml.xpath.core",1551347684287
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.7.v201309031044,"org.eclipse.datatools.enablement.oda.xml.ui",1551347684287
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.5.v201305031101,"org.eclipse.datatools.enablement.oda.xml",1551347684288
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.300.v201302270042,"org.eclipse.jst.ws.jaxws.ui",1551347684288
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.301.v201401101648,"org.eclipse.jst.ws.jaxws.core",1551347684288
stopped,bundle,org.eclipse.egit.mylyn.ui,3.2.0.201312181205-r,"org.eclipse.egit.mylyn.ui",1551347684289
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.bugzilla.ui",1551347684289
