what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552445814350
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552445924799
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552445938003
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552445939541
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552446621861
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552479963762
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552481071587
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552533309478
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552533325795
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552533594880
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552549554137
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552573517374
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552617998892
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552618224023
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639369873
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639383667
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639385908
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639389795
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639466287
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552639473680
started,bundle,org.eclipse.mylyn.context.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.ui",1552639473716
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1552639475692
started,bundle,org.eclipse.compare,3.5.401.v20130709-1308,"org.eclipse.compare",1552639475900
activated,view,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.PackageExplorer",1552639514994
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.400.v201201111717,"org.eclipse.wst.ws.service.policy.ui",1552639558695
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1552639558697
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1552639558713
started,bundle,org.eclipse.wst.ws,1.1.300.v201204181727,"org.eclipse.wst.ws",1552639558714
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639565053
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639579072
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1552639585342
